run_id,configuration,model,node_count,target_tp,draft_tp,speculative_tokens,concurrency,repeat,request_id,prompt_id,started_at_utc,status_code,success,error,prompt_tokens,completion_tokens,ttft_s,latency_s,decode_s,request_output_tok_s
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,8,2,c8-r2-q6,5,2026-09-13T20:49:04.145296+00:00,200,True,,72,200,0.765582,16.470935,15.705353,12.142601
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,8,2,c8-r2-q2,1,2026-09-13T20:49:04.147857+00:00,200,True,,64,200,0.762375,16.770863,16.008488,11.925445
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,8,2,c8-r2-q7,6,2026-09-13T20:49:04.145377+00:00,200,True,,67,200,0.366743,16.77411,16.407368,11.923136
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,8,2,c8-r2-q4,3,2026-09-13T20:49:04.145833+00:00,200,True,,63,200,0.764608,16.904756,16.140148,11.83099
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,8,2,c8-r2-q5,4,2026-09-13T20:49:04.144592+00:00,200,True,,64,200,0.367686,16.906568,16.538883,11.829722
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,8,2,c8-r2-q8,7,2026-09-13T20:49:04.145714+00:00,200,True,,64,200,0.765275,17.780261,17.014986,11.248429
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,8,3,c8-r3-q3,2,2026-09-13T20:49:21.928628+00:00,200,True,,64,200,0.367287,13.21746,12.850174,15.1315
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,8,3,c8-r3-q6,5,2026-09-13T20:49:21.928778+00:00,200,True,,72,200,0.366946,16.594947,16.228,12.051862
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,8,3,c8-r3-q7,6,2026-09-13T20:49:21.928926+00:00,200,True,,67,200,0.367344,16.771662,16.404318,11.924876
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,8,3,c8-r3-q1,0,2026-09-13T20:49:21.928256+00:00,200,True,,65,200,0.367781,16.925056,16.557275,11.8168
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,8,3,c8-r3-q5,4,2026-09-13T20:49:21.929063+00:00,200,True,,64,200,0.366584,17.701452,17.334867,11.298508
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,8,3,c8-r3-q4,3,2026-09-13T20:49:21.928537+00:00,200,True,,63,200,0.366861,17.945435,17.578574,11.144896
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,8,3,c8-r3-q2,1,2026-09-13T20:49:21.931711+00:00,200,True,,64,200,0.363772,18.252063,17.888291,10.957666
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,8,3,c8-r3-q8,7,2026-09-13T20:49:21.929188+00:00,200,True,,64,200,0.366354,18.254971,17.888617,10.95592
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,16,1,c16-r1-q3,2,2026-09-13T20:49:40.200102+00:00,200,True,,64,200,0.780373,16.996339,16.215966,11.76724
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,16,1,c16-r1-q11,2,2026-09-13T20:49:40.207079+00:00,200,True,,64,200,0.775125,18.091175,17.31605,11.055114
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,16,1,c16-r1-q9,0,2026-09-13T20:49:40.202967+00:00,200,True,,65,200,0.777334,20.217763,19.440429,9.892291
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,16,1,c16-r1-q1,0,2026-09-13T20:49:40.200192+00:00,200,True,,65,200,0.781039,20.221439,19.4404,9.890493
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,16,1,c16-r1-q6,5,2026-09-13T20:49:40.200739+00:00,200,True,,72,200,0.780254,20.483164,19.702909,9.764117
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,16,1,c16-r1-q12,3,2026-09-13T20:49:40.202781+00:00,200,True,,63,200,0.77887,20.708844,19.929974,9.657709
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,16,1,c16-r1-q4,3,2026-09-13T20:49:40.204319+00:00,200,True,,63,200,0.776518,21.113286,20.336768,9.472708
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,16,1,c16-r1-q5,4,2026-09-13T20:49:40.203586+00:00,200,True,,64,200,0.778729,21.114611,20.335882,9.472114
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,16,1,c16-r1-q15,6,2026-09-13T20:49:40.200917+00:00,200,True,,67,200,0.274612,21.365147,21.090535,9.36104
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,16,1,c16-r1-q13,4,2026-09-13T20:49:40.202866+00:00,200,True,,64,200,0.777904,21.579245,20.801341,9.268165
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,16,1,c16-r1-q7,6,2026-09-13T20:49:40.205387+00:00,200,True,,67,200,0.776683,21.577684,20.801,9.268835
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,16,1,c16-r1-q10,1,2026-09-13T20:49:40.205959+00:00,200,True,,64,200,0.774434,22.788088,22.013654,8.776515
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,16,1,c16-r1-q2,1,2026-09-13T20:49:40.204815+00:00,200,True,,64,200,0.776494,22.939465,22.162971,8.718599
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,16,1,c16-r1-q8,7,2026-09-13T20:49:40.200325+00:00,200,True,,64,200,0.780782,22.944164,22.163382,8.716814
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,16,1,c16-r1-q14,5,2026-09-13T20:49:40.200845+00:00,200,True,,72,200,0.780598,22.944215,22.163617,8.716794
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,16,1,c16-r1-q16,7,2026-09-13T20:49:40.208572+00:00,200,True,,64,200,0.773237,23.497018,22.723781,8.511718
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,16,2,c16-r2-q3,2,2026-09-13T20:50:03.710217+00:00,200,True,,64,200,0.752484,16.696019,15.943535,11.978903
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,16,2,c16-r2-q11,2,2026-09-13T20:50:03.714458+00:00,200,True,,64,200,0.747444,16.96588,16.218436,11.788366
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,16,2,c16-r2-q2,1,2026-09-13T20:50:03.710095+00:00,200,True,,64,200,0.752137,19.582777,18.83064,10.213056
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,16,2,c16-r2-q12,3,2026-09-13T20:50:03.711148+00:00,200,True,,63,200,0.237762,20.079054,19.841293,9.960628
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,16,2,c16-r2-q1,0,2026-09-13T20:50:03.709961+00:00,200,True,,65,200,0.751075,20.080825,19.329751,9.95975
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,16,2,c16-r2-q9,0,2026-09-13T20:50:03.712140+00:00,200,True,,65,200,0.749488,20.520842,19.771354,9.746189
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,16,2,c16-r2-q4,3,2026-09-13T20:50:03.710313+00:00,200,True,,63,200,0.750822,20.522904,19.772082,9.74521
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,16,2,c16-r2-q6,5,2026-09-13T20:50:03.714931+00:00,200,True,,72,200,0.747982,21.18486,20.436878,9.440704
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,16,2,c16-r2-q7,6,2026-09-13T20:50:03.715640+00:00,200,True,,67,200,0.746036,21.185276,20.43924,9.440519
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,16,2,c16-r2-q5,4,2026-09-13T20:50:03.710523+00:00,200,True,,64,200,0.7508,21.616084,20.865283,9.25237
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,16,2,c16-r2-q15,6,2026-09-13T20:50:03.715706+00:00,200,True,,67,200,0.747118,21.61123,20.864113,9.254448
qwen38_dflash2_tp4_dtp1_20260913T204731Z,vllm-0.28.1-dflash2-target-tp4-draft-tp1-k10,Qwen/Qwen3.8-27B,4,4,1,10,16,2,c16-r2-q13,4,2026-09-13T20:50:03.714321+00:00,200,True,,64,200,0.746618,21.612743,20.866125,9.2538
